user_id,cluster,rating
1,111,4.595951816966243
1,63,3.043850211642511
1,19,2.377070343818208
1,64,4.106293984877032
1,53,4.970403365482516
1,35,1.2234617320349654
1,7,3.6992714152565265
1,121,4.920827857271105
1,110,1.604885357620776
1,92,2.704069203558678
1,56,4.738119298605954
1,34,3.5036306236697863
1,106,2.145708954130928
1,33,2.3640879489088342
1,62,1.0034473250624316
1,3,4.028167078303695
1,89,3.5164999212989034
1,27,3.69355958183545
1,32,4.344629511050277
1,95,3.631517794875136
1,23,4.44193565156772
1,119,3.7895561578041432
1,88,2.673654673116669
1,66,2.059789798349127
1,99,2.005401522406661
1,117,1.3332906975681698
1,96,4.4579688875554675
1,4,1.174269382396166
1,67,1.7840255935133356
1,24,2.051294276771099
1,22,3.0799380329171777
1,82,4.623669732340112
1,29,4.759253734556371
1,16,1.8563798570342152
1,54,2.9545241493514642
2,54,4.328500524042137
2,29,3.004856735340945
2,57,2.374165365695745
2,81,4.2876203623309745
2,27,2.049138289542592
2,122,1.329130819177394
2,65,1.4009763476698418
2,102,1.4376910001602532
2,42,1.8494678102224777
2,99,4.397843600035648
2,23,3.5525386915839867
2,13,4.105856878186934
2,2,3.161883093020575
2,66,1.8885239927656885
2,59,2.8883915895936183
2,97,2.9411268596584583
2,9,1.8563798570342152
2,14,3.7787081640674134
2,75,2.059789798349127
2,36,1.423050609779712
2,16,4.671903216490959
2,24,1.9516374836219113
2,7,1.24662273672915
2,90,4.445392836916722
2,71,4.810242928203907
2,117,2.637175818941282
2,113,3.089514439130629
2,103,2.4059264333441654
2,85,2.4304141000857498
2,44,2.6818564533182263
2,32,1.819043844874015
2,30,2.584681654358432
2,53,4.547354581584966
3,122,2.5952337934418908
3,101,1.3392584244883734
3,111,3.765291066106504
3,4,2.646045092163331
3,110,4.051607373669139
3,19,3.004856735340945
3,92,3.3628962091801458
3,123,1.8820766852391282
3,97,4.002401556681123
3,61,1.011897576359627
3,69,4.257947068528225
3,83,1.9994438423468277
3,86,3.5036306236697863
3,116,4.707939736483004
3,54,1.537206513296002
3,30,4.105856878186934
3,53,3.7895561578041432
3,91,1.8505497753913511
3,71,1.9135452224345522
3,34,3.089514439130629
3,120,4.7078440264551435
3,45,1.2288370222177898
3,14,1.3702926515080853
3,33,1.537206513296002
3,28,2.4506957846928525
3,20,1.0475716780810305
3,119,3.785116755403835
3,55,1.07339485181385
3,21,2.2561119791590665
3,38,1.9033613770608455
3,124,3.021994006114688
3,74,3.946474623758285
3,62,3.0456768833754344
3,94,2.337832259025564
3,102,3.687660823324715
3,57,3.4078541323865754
3,85,3.382936322385835
3,32,2.8482538331780436
3,115,2.7011391854416993
3,2,3.145685608048072
3,42,1.069236718642666
3,26,4.0666975552683855
3,93,4.535936236012044
3,49,1.7664146093404716
3,6,2.1965436897164587
3,12,4.3088157303906245
3,88,3.6903854347410974
4,122,1.1457262069287388
4,48,3.5525386915839867
4,7,1.7193405517038562
4,27,1.8563798570342152
4,19,2.8396385751986517
4,16,2.8384921565374244
4,124,1.2286885803100889
4,15,1.4644616588465649
4,66,2.649517815900657
4,67,4.730815920348569
4,92,4.540871554023578
4,106,4.155091213176275
4,98,2.9605304314585625
4,40,3.4761064692380303
4,43,2.8696661159386725
4,80,3.7829667006453724
4,37,3.3514740156053433
4,53,2.5798560525938985
4,49,3.3407175407416263
4,115,2.70885535989737
4,46,2.320868735474223
4,22,2.8384921565374244
4,12,3.777880257052914
4,102,2.646045092163331
4,2,3.4761064692380303
4,114,3.9055990308605115
4,84,2.9817165147801563
4,35,3.3160444633725046
4,103,1.5417778061478562
4,109,4.572170522913735
4,117,2.9605304314585625
4,50,2.3916774409540196
4,90,2.8696661159386725
4,44,3.8632699773670787
4,121,4.120885990197145
4,70,2.1680970561599135
4,91,1.0292724602530336
4,85,4.911585863486506
4,71,1.8342659707099465
4,45,1.63396847568597
4,78,3.5574373535933455
4,31,2.18310432426999
5,52,4.246024183875511
5,112,2.3636561535127485
5,23,1.9943756890757882
5,7,2.366485436030098
5,83,1.7847344970705672
5,38,2.3982764617723302
5,44,3.2102816700213532
5,104,3.3628962091801458
5,48,1.8008024433831507
5,119,2.8538120571439496
5,76,4.497136016947952
5,51,1.944506875291892
5,25,1.875241152411172
5,121,2.5952337934418908
5,33,1.6084458927925427
5,5,2.2970438050566084
5,57,2.0064321261791807
5,4,4.0666975552683855
5,113,2.1322010011307775
5,88,4.804428267094549
5,124,2.2670917657020464
5,117,1.942582308570128
5,6,2.042860536223963
5,46,4.820540650648152
5,85,2.774710125424161
5,89,2.0081144784938623
5,11,3.1572420839528124
5,86,4.888612356685863
5,98,4.386597415947319
5,17,4.23059249890693
6,46,3.4252491807216088
6,44,1.0554500973307026
6,64,3.16963479424533
6,108,4.451917204410811
6,124,4.568147262521794
6,65,1.3143529586077278
6,121,3.0061285357231338
6,55,1.3143529586077278
6,25,3.212237094682878
6,116,4.204212260298588
6,103,4.120885990197145
6,16,3.6592287821769736
6,73,2.401672504283978
6,26,1.667993049492909
6,41,4.422196817174003
6,14,2.9222997174732748
6,47,4.753662232258803
6,117,4.422196817174003
6,111,3.3628962091801458
6,91,1.340569499602661
6,72,3.021994006114688
6,110,1.7840255935133356
6,6,2.1872730677325865
6,107,2.715759801856486
6,24,4.559157350361402
