user_id,question_id,chapter,concept,difficulty,score,timecost,created_at
669d16e11db84069209550bd,3b6fd0b3-414b-464e-83f1-404d78be26c9,chuong-1,mang-may-tinh,0.25,1,4648,2024-09-12 05:59:50.980
669d16e11db84069209550bd,0304f6be-0591-419e-a6cb-c10db2c1cbeb,chuong-1,cong-nghe-thong-tin,0.663922156771739,1,8356,2024-09-12 06:00:55.467
669d16e11db84069209550bd,4d6363a0-63fb-4e4f-b6f8-0e3d95e99065,chuong-1,thong-tin-xu-ly-thong-tin,0.25,1,2785,2024-09-12 06:00:58.638
669d16e11db84069209550bd,43d9a5e4-ffb4-4224-8110-648902976486,chuong-1,giai-quyet-bai-toan-tren-mtdt,0.45555555555555555,1,8624,2024-09-12 06:01:10.907
669d16e11db84069209550bd,76cee16c-cffb-4dce-a2b2-94a0ae2f87c3,chuong-1,mang-may-tinh,0.41666666666666663,0,23039,2024-09-12 06:01:34.642
669d16e11db84069209550bd,8c10f19a-bfbf-4d34-b85f-52cdd59a6c04,chuong-1,giai-quyet-bai-toan-tren-mtdt,0.4523809523809524,1,738,2024-09-12 06:02:46.733
669d16e11db84069209550bd,0cfd0f1b-9317-478d-8e30-1d0bdca2453f,chuong-1,giai-quyet-bai-toan-tren-mtdt,0.25,1,15635,2024-09-12 06:03:03.498
669d16e11db84069209550bd,0e65953d-a745-45c8-9b70-bc88333a5ca5,chuong-1,thong-tin-xu-ly-thong-tin,0.25,0,5517,2024-09-12 06:03:11.740
669d16e11db84069209550bd,5e58f0f4-80cb-4911-b1b7-87900235970a,chuong-1,may-tinh-dien-tu,0.4451219512195122,1,4358,2024-09-12 06:03:17.845
669d16e11db84069209550bd,ffba9bbf-c51e-43f6-a0fe-cf0c79e6c1c9,chuong-1,may-tinh-dien-tu,0.46794871794871795,0,2419,2024-09-12 06:03:20.898
669d16e11db84069209550bd,eea587d1-9998-43b9-b1a8-e47a7b22c3cb,chuong-1,giai-quyet-bai-toan-tren-mtdt,0.43902439024390244,0,3416,2024-09-13 16:33:18.665
669d16e11db84069209550bd,095bdf36-2545-4ae1-adf9-5f7d1bf23ec2,chuong-1,may-tinh-dien-tu,0.25,0,1289,2024-09-13 16:33:37.675
669d16e11db84069209550bd,d7999302-2eca-41af-98d9-59e9eb547842,chuong-1,may-tinh-dien-tu,0.41025641025641024,0,504,2024-09-13 16:33:44.000
669d16e11db84069209550bd,d0fe8054-29bc-45c0-8d60-3f42eb01ae9a,chuong-1,thong-tin-xu-ly-thong-tin,0.4111111111111111,0,18450,2024-09-13 16:34:05.687
669d16e11db84069209550bd,33452c11-12cb-44ba-8f62-dcdb804f12fe,chuong-1,mang-may-tinh,0.609527945448766,1,14073,2024-09-13 16:34:22.001
669d16e11db84069209550bd,8014b0ab-61ef-4226-9fc0-b2333fe96dc0,chuong-1,phan-cung-phan-mem,0.4444444444444444,1,8482,2024-09-13 16:34:34.454
669d16e11db84069209550bd,ce207116-5777-4e8b-a86d-11fd6483a4d4,chuong-1,giai-quyet-bai-toan-tren-mtdt,0.4593023255813954,0,916,2024-09-13 16:34:46.846
669d16e11db84069209550bd,a6f20cec-1ff9-4898-b912-6a8a025f3734,chuong-1,may-tinh-dien-tu,0.08783783783783784,0,1007,2024-09-13 16:35:00.811
669d16e11db84069209550bd,be3c8873-ba33-41b1-aa18-f1f0e151630a,chuong-1,may-tinh-dien-tu,0.45833333333333337,0,3636,2024-09-13 16:35:07.627
669d16e11db84069209550bd,099d1acf-9cd7-4766-9610-0744c4d7e042,chuong-1,cong-nghe-thong-tin,0.4666666666666667,1,2586,2024-09-13 16:35:24.018
669d16e11db84069209550bd,2982d21f-18d1-4298-aa7d-9f5ab09b064f,chuong-1,phan-cung-phan-mem,0.07432432432432433,0,6917,2024-09-13 16:35:32.903
669d16e11db84069209550bd,8ab15069-d04c-4bb3-b974-aa771e60efa7,chuong-1,thong-tin-xu-ly-thong-tin,0.09375,0,4762,2024-09-13 16:35:38.917
669d16e11db84069209550bd,5601ee39-73da-44d7-a31d-82c3d84c254c,chuong-1,mang-may-tinh,0.5,1,2255,2024-09-13 16:35:46.465
669d16e11db84069209550bd,ec39f0c1-43e9-4594-af9c-f6bd1001513b,chuong-1,may-tinh-dien-tu,0.44594594594594594,1,2884,2024-09-13 16:35:57.253
669d16e11db84069209550bd,96a75562-c998-48d9-817a-c34488112a4f,chuong-1,giai-quyet-bai-toan-tren-mtdt,0.43902439024390244,1,780,2024-09-13 16:36:15.087
669d16e11db84069209550bd,a1eab13c-6630-4172-8ff5-ccf3802682c6,chuong-1,may-tinh-dien-tu,0.4140625,0,3418,2024-09-13 16:36:25.317
669d16e11db84069209550bd,8777e82a-6657-4bd2-af31-56f0277d134d,chuong-1,mang-may-tinh,0.4642857142857143,1,8950,2024-09-13 16:36:35.365
669d16e11db84069209550bd,db413119-fd00-4a1f-b4f9-a4d9eb39813f,chuong-1,may-tinh-dien-tu,0.5,0,973,2024-09-13 16:36:41.012
669d16e11db84069209550bd,ea548305-a5f2-4ff5-bf08-5d07fe556800,chuong-1,giai-quyet-bai-toan-tren-mtdt,0.25,0,12784,2024-09-13 16:36:54.301
